"date" "keyword" "est_hits"
2008-12-01 "§√’¡°—π·¥¥" 0
2008-12-02 "§√’¡°—π·¥¥" 0
2008-12-03 "§√’¡°—π·¥¥" 0
2008-12-04 "§√’¡°—π·¥¥" 0
2008-12-05 "§√’¡°—π·¥¥" 0
2008-12-06 "§√’¡°—π·¥¥" 0
2008-12-07 "§√’¡°—π·¥¥" 0
2008-12-08 "§√’¡°—π·¥¥" 0
2008-12-09 "§√’¡°—π·¥¥" 5.67
2008-12-10 "§√’¡°—π·¥¥" 0
2008-12-11 "§√’¡°—π·¥¥" 0
2008-12-12 "§√’¡°—π·¥¥" 0
2008-12-13 "§√’¡°—π·¥¥" 0
2008-12-14 "§√’¡°—π·¥¥" 0
2008-12-15 "§√’¡°—π·¥¥" 0
2008-12-16 "§√’¡°—π·¥¥" 0
2008-12-17 "§√’¡°—π·¥¥" 0
2008-12-18 "§√’¡°—π·¥¥" 0
2008-12-19 "§√’¡°—π·¥¥" 0
2008-12-20 "§√’¡°—π·¥¥" 7
2008-12-21 "§√’¡°—π·¥¥" 0
2008-12-22 "§√’¡°—π·¥¥" 5.46
2008-12-23 "§√’¡°—π·¥¥" 0
2008-12-24 "§√’¡°—π·¥¥" 0
2008-12-25 "§√’¡°—π·¥¥" 0
2008-12-26 "§√’¡°—π·¥¥" 0
2008-12-27 "§√’¡°—π·¥¥" 0
2008-12-28 "§√’¡°—π·¥¥" 0
2008-12-29 "§√’¡°—π·¥¥" 0
2008-12-30 "§√’¡°—π·¥¥" 6.93
2008-12-31 "§√’¡°—π·¥¥" 0
2009-01-01 "§√’¡°—π·¥¥" 0
2009-01-02 "§√’¡°—π·¥¥" 0
2009-01-03 "§√’¡°—π·¥¥" 0
2009-01-04 "§√’¡°—π·¥¥" 10
2009-01-05 "§√’¡°—π·¥¥" 6.9
2009-01-06 "§√’¡°—π·¥¥" 0
2009-01-07 "§√’¡°—π·¥¥" 0
2009-01-08 "§√’¡°—π·¥¥" 6.7
2009-01-09 "§√’¡°—π·¥¥" 0
2009-01-10 "§√’¡°—π·¥¥" 0
2009-01-11 "§√’¡°—π·¥¥" 0
2009-01-12 "§√’¡°—π·¥¥" 6.5
2009-01-13 "§√’¡°—π·¥¥" 6.4
2009-01-14 "§√’¡°—π·¥¥" 6.6
